epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7709,2.08892,4.60064,2.1728,0.00333,1,0.0726,0.0193,1.18104,4.01424,1.60398,0.0003,0.0003,0.0003
2,13.3828,1.27408,3.17062,1.53748,0.00333,1,0.46616,0.28524,1.11599,3.56789,1.34053,0.000613862,0.000613862,0.000613862
3,15.9739,1.22085,2.57786,1.51179,0.00428,1,0.71932,0.38991,0.92317,3.24293,1.21919,0.000921388,0.000921388,0.000921388
4,18.5454,1.16401,2.29101,1.59,0.7731,0.43275,0.89977,0.60067,0.92021,3.15367,1.48502,0.00122258,0.00122258,0.00122258
5,21.12,1.10332,1.99907,1.55516,0.89566,0.625,0.80432,0.49825,0.95493,3.10491,1.56833,0.00151743,0.00151743,0.00151743
6,23.6742,1.18691,1.93422,1.59641,0.96501,0.625,0.8331,0.67563,0.9029,2.87895,1.53381,0.00180595,0.00180595,0.00180595
7,26.2364,1.14669,1.85782,1.62063,0.99817,0.875,0.955,0.74171,0.87869,2.0549,1.48614,0.0018812,0.0018812,0.0018812
8,28.8114,1.18258,1.71264,1.55996,0.98976,0.875,0.935,0.7025,0.98849,1.76461,1.60312,0.0018614,0.0018614,0.0018614
9,31.3684,1.12618,1.61707,1.58082,0.99305,0.875,0.971,0.65187,1.21291,1.68431,1.6465,0.0018416,0.0018416,0.0018416
10,33.9439,1.10961,1.60666,1.55817,1,0.85922,0.96227,0.76812,0.90807,1.38938,1.39037,0.0018218,0.0018218,0.0018218
11,36.5554,1.0518,1.44339,1.44722,0.88789,0.99101,0.98167,0.70314,0.96626,1.1754,1.45703,0.001802,0.001802,0.001802
12,39.121,1.0457,1.38844,1.49685,0.88789,0.99104,0.98167,0.67801,1.16569,1.27484,1.68969,0.0017822,0.0017822,0.0017822
13,41.6928,1.06182,1.34005,1.47929,0.88712,0.98409,0.96722,0.70502,1.02578,1.1648,1.55361,0.0017624,0.0017624,0.0017624
