epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,44.2753,1.04669,1.27388,1.51438,0.87627,1,0.98167,0.7013,0.93313,1.00697,1.46203,0.0017426,0.0017426,0.0017426
15,46.8541,1.07207,1.17977,1.49877,0.99292,0.875,0.98167,0.77323,0.81753,0.91122,1.35619,0.0017228,0.0017228,0.0017228
16,49.4595,0.97176,1.11933,1.42845,0.8748,1,0.98167,0.7435,0.91403,0.82001,1.49515,0.001703,0.001703,0.001703
17,52.0436,0.98167,1.06678,1.41087,0.98827,0.875,0.98167,0.69598,1.04678,0.95286,1.54005,0.0016832,0.0016832,0.0016832
18,54.6291,1.04512,1.11539,1.47571,0.98697,1,0.995,0.81807,0.79047,0.82683,1.33563,0.0016634,0.0016634,0.0016634
19,57.2395,1.01572,1.07786,1.46578,1,0.9753,0.995,0.79827,0.80865,0.7637,1.34968,0.0016436,0.0016436,0.0016436
20,59.8225,1.0352,1.00745,1.42894,0.98477,0.875,0.96227,0.73711,0.92553,0.8441,1.43873,0.0016238,0.0016238,0.0016238
21,62.4188,0.95217,0.9281,1.42977,0.987,0.875,0.96227,0.79026,0.82569,0.86224,1.34182,0.001604,0.001604,0.001604
22,64.9983,0.97272,0.96209,1.43194,0.98894,0.875,0.98167,0.81005,0.7227,0.69981,1.26222,0.0015842,0.0015842,0.0015842
23,67.5817,0.9989,0.95333,1.44728,0.99008,0.875,0.98167,0.76573,0.73825,0.71989,1.26734,0.0015644,0.0015644,0.0015644
24,70.1712,0.87438,0.84082,1.35305,1,0.99291,0.995,0.77043,0.75234,0.6987,1.2892,0.0015446,0.0015446,0.0015446
25,72.7749,0.93378,0.85367,1.349,0.9964,1,0.995,0.80196,0.72207,0.66907,1.28506,0.0015248,0.0015248,0.0015248
26,75.3602,0.91388,0.85971,1.38461,0.99902,1,0.995,0.70288,1.06799,0.68904,1.44192,0.001505,0.001505,0.001505
27,77.9549,0.94748,0.85915,1.38133,0.99531,1,0.995,0.65925,1.05267,0.6683,1.40358,0.0014852,0.0014852,0.0014852
28,80.5416,0.86897,0.79973,1.30213,0.99477,1,0.995,0.68296,1.03611,0.64358,1.4332,0.0014654,0.0014654,0.0014654
29,83.1277,0.8707,0.77916,1.38209,0.99755,1,0.995,0.68579,0.89669,0.60735,1.37048,0.0014456,0.0014456,0.0014456
30,85.7132,0.88624,0.7784,1.38906,1,0.99562,0.995,0.69592,0.96757,0.67379,1.40428,0.0014258,0.0014258,0.0014258
31,88.3056,0.8826,0.78429,1.34919,0.97551,1,0.995,0.7309,0.9827,0.65089,1.43887,0.001406,0.001406,0.001406
32,90.8901,0.85571,0.7428,1.31717,1,0.9915,0.995,0.74613,0.88199,0.61876,1.31394,0.0013862,0.0013862,0.0013862
33,93.4821,0.83555,0.69375,1.26199,1,0.9938,0.995,0.72786,0.9418,0.64734,1.38028,0.0013664,0.0013664,0.0013664
34,96.0698,0.85525,0.73586,1.30347,1,0.9927,0.995,0.69496,0.9615,0.64084,1.37305,0.0013466,0.0013466,0.0013466
35,98.6889,0.83459,0.70158,1.26596,0.9925,1,0.995,0.73217,0.96201,0.54728,1.39036,0.0013268,0.0013268,0.0013268
36,101.27,0.86357,0.69021,1.33829,0.99324,1,0.995,0.72173,0.88806,0.55654,1.35524,0.001307,0.001307,0.001307
37,103.848,0.84747,0.63365,1.27499,0.99369,1,0.995,0.73005,0.87894,0.5578,1.36278,0.0012872,0.0012872,0.0012872
38,106.435,0.79793,0.66836,1.26254,0.99433,1,0.995,0.78741,0.77273,0.49426,1.30524,0.0012674,0.0012674,0.0012674
39,109.024,0.77953,0.62168,1.24372,0.99399,1,0.995,0.75425,0.77145,0.50864,1.31555,0.0012476,0.0012476,0.0012476
40,111.625,0.83184,0.70748,1.35562,0.99196,1,0.995,0.77828,0.79387,0.47189,1.31057,0.0012278,0.0012278,0.0012278
41,114.212,0.88294,0.72551,1.33692,1,0.99046,0.995,0.76678,0.8191,0.50773,1.33571,0.001208,0.001208,0.001208
42,116.791,0.7904,0.62136,1.23811,1,0.98944,0.995,0.79789,0.83491,0.52808,1.34149,0.0011882,0.0011882,0.0011882
43,119.381,0.84975,0.63424,1.34584,0.99679,1,0.995,0.75771,0.86443,0.50747,1.37733,0.0011684,0.0011684,0.0011684
44,122.007,0.90937,0.66641,1.34022,0.99519,1,0.995,0.74457,0.9115,0.45294,1.36964,0.0011486,0.0011486,0.0011486
45,124.608,0.82153,0.65738,1.28495,0.99392,1,0.995,0.7634,0.90227,0.41979,1.35594,0.0011288,0.0011288,0.0011288
46,127.192,0.84148,0.61296,1.29061,0.99456,1,0.995,0.73321,0.91208,0.39406,1.38515,0.001109,0.001109,0.001109
47,129.803,0.77529,0.60752,1.27516,0.9972,1,0.995,0.75195,0.93897,0.4688,1.40204,0.0010892,0.0010892,0.0010892
48,132.441,0.80512,0.62449,1.32643,0.99959,1,0.995,0.72653,0.97582,0.52344,1.4036,0.0010694,0.0010694,0.0010694
49,135.046,0.80362,0.62854,1.27063,0.996,1,0.995,0.73014,0.93484,0.4593,1.38646,0.0010496,0.0010496,0.0010496
50,137.628,0.81249,0.61561,1.26327,0.99496,1,0.995,0.73728,0.9015,0.42915,1.35517,0.0010298,0.0010298,0.0010298
51,140.235,0.80759,0.5934,1.29149,0.99186,1,0.995,0.72702,0.88781,0.42633,1.34901,0.00101,0.00101,0.00101
52,142.811,0.76103,0.57134,1.23676,0.9896,1,0.995,0.70625,0.92596,0.48436,1.40514,0.0009902,0.0009902,0.0009902
53,145.385,0.79667,0.57645,1.24548,0.99,1,0.995,0.72904,0.88611,0.45324,1.34077,0.0009704,0.0009704,0.0009704
54,147.972,0.81841,0.59011,1.27799,0.98768,1,0.995,0.71502,1.01299,0.4645,1.47171,0.0009506,0.0009506,0.0009506
55,150.57,0.76742,0.5682,1.2242,0.99176,1,0.995,0.66794,0.99023,0.44284,1.49456,0.0009308,0.0009308,0.0009308
56,153.155,0.80431,0.61984,1.31148,0.99342,1,0.995,0.69758,0.97763,0.42836,1.44195,0.000911,0.000911,0.000911
57,155.723,0.78093,0.56641,1.25717,0.99321,1,0.995,0.69806,1.05503,0.43654,1.44212,0.0008912,0.0008912,0.0008912
58,158.335,0.7287,0.55453,1.21524,0.99324,1,0.995,0.71871,1.02228,0.42106,1.44425,0.0008714,0.0008714,0.0008714
59,160.937,0.7432,0.54618,1.21825,0.99334,1,0.995,0.72405,1.04832,0.42972,1.42716,0.0008516,0.0008516,0.0008516
60,163.584,0.8305,0.57343,1.30226,0.99374,1,0.995,0.74237,0.93689,0.44011,1.37005,0.0008318,0.0008318,0.0008318
61,166.178,0.75329,0.5608,1.23719,0.99396,1,0.995,0.7645,0.93187,0.44284,1.35711,0.000812,0.000812,0.000812
62,168.778,0.73189,0.53315,1.23268,0.99425,1,0.995,0.72043,0.95729,0.4411,1.37844,0.0007922,0.0007922,0.0007922
63,171.386,0.78124,0.55645,1.2296,0.99434,1,0.995,0.70886,0.9408,0.46319,1.34943,0.0007724,0.0007724,0.0007724
64,173.965,0.76895,0.52151,1.21314,0.99469,1,0.995,0.72507,0.91514,0.39323,1.36957,0.0007526,0.0007526,0.0007526
65,176.547,0.71395,0.51229,1.21225,0.99449,1,0.995,0.71167,0.97231,0.39357,1.40122,0.0007328,0.0007328,0.0007328
66,179.135,0.73838,0.52903,1.21154,0.99437,1,0.995,0.74886,0.91893,0.41216,1.36435,0.000713,0.000713,0.000713
67,181.73,0.73349,0.51214,1.22565,0.99462,1,0.995,0.76823,0.91632,0.41288,1.38194,0.0006932,0.0006932,0.0006932
68,184.346,0.65333,0.50446,1.17027,0.99525,1,0.995,0.74718,0.9425,0.39975,1.40389,0.0006734,0.0006734,0.0006734
69,186.927,0.74056,0.51474,1.22383,0.99432,1,0.995,0.70529,0.9674,0.39887,1.42188,0.0006536,0.0006536,0.0006536
70,189.518,0.793,0.53795,1.25371,0.9942,1,0.995,0.6941,1.03173,0.41321,1.44493,0.0006338,0.0006338,0.0006338
71,192.109,0.69476,0.50395,1.18821,0.99464,1,0.995,0.67583,1.11915,0.42708,1.50784,0.000614,0.000614,0.000614
72,194.692,0.72566,0.55574,1.22891,0.99454,1,0.995,0.70574,1.08984,0.4135,1.49063,0.0005942,0.0005942,0.0005942
73,197.291,0.74129,0.51475,1.2234,0.99437,1,0.995,0.73911,0.98611,0.40155,1.41345,0.0005744,0.0005744,0.0005744
74,199.893,0.72504,0.50925,1.1982,0.99512,1,0.995,0.7474,0.92212,0.39448,1.37024,0.0005546,0.0005546,0.0005546
75,202.485,0.69834,0.5312,1.18059,0.9944,1,0.995,0.73694,0.97852,0.41834,1.42125,0.0005348,0.0005348,0.0005348
76,205.081,0.68141,0.48087,1.1983,0.99468,1,0.995,0.73668,0.9637,0.40709,1.42296,0.000515,0.000515,0.000515
77,207.653,0.65844,0.48267,1.17219,0.99429,1,0.995,0.71082,0.9499,0.41398,1.38643,0.0004952,0.0004952,0.0004952
78,210.244,0.69729,0.5017,1.19863,0.994,1,0.995,0.72168,0.93076,0.41069,1.35036,0.0004754,0.0004754,0.0004754
79,212.831,0.67549,0.47708,1.15984,0.99408,1,0.995,0.7316,0.93624,0.40851,1.36859,0.0004556,0.0004556,0.0004556
80,215.442,0.70051,0.48764,1.19974,0.99399,1,0.995,0.71263,0.96803,0.43402,1.40589,0.0004358,0.0004358,0.0004358
81,218.028,0.67946,0.47298,1.18971,0.99415,1,0.995,0.75871,1.01459,0.42845,1.43771,0.000416,0.000416,0.000416
82,220.618,0.70987,0.48514,1.20155,0.99398,1,0.995,0.73821,0.96511,0.40943,1.40454,0.0003962,0.0003962,0.0003962
83,223.202,0.69748,0.49592,1.15789,0.99384,1,0.995,0.73771,0.91236,0.39249,1.41782,0.0003764,0.0003764,0.0003764
84,225.795,0.64247,0.45367,1.15146,0.99369,1,0.995,0.73637,0.93996,0.38964,1.40167,0.0003566,0.0003566,0.0003566
85,228.402,0.64417,0.45366,1.16472,0.99359,1,0.995,0.72205,1.00278,0.3843,1.3904,0.0003368,0.0003368,0.0003368
86,231.004,0.67934,0.46079,1.12822,0.99348,1,0.995,0.70879,1.02718,0.3853,1.39927,0.000317,0.000317,0.000317
87,233.606,0.67636,0.44686,1.18257,0.99355,1,0.995,0.73631,0.99203,0.36942,1.39943,0.0002972,0.0002972,0.0002972
88,236.203,0.67194,0.47829,1.17771,0.99346,1,0.995,0.75041,0.93816,0.34894,1.38881,0.0002774,0.0002774,0.0002774
89,238.795,0.65084,0.45814,1.18672,0.99346,1,0.995,0.74871,0.94973,0.35668,1.35963,0.0002576,0.0002576,0.0002576
90,241.39,0.64451,0.45177,1.17105,0.99334,1,0.995,0.71969,0.97512,0.36565,1.34948,0.0002378,0.0002378,0.0002378
91,245.227,0.57562,0.46873,1.15157,0.99352,1,0.995,0.71259,0.99604,0.37349,1.36735,0.000218,0.000218,0.000218
92,247.932,0.55785,0.49506,1.12311,0.9937,1,0.995,0.71259,1.0143,0.37799,1.39121,0.0001982,0.0001982,0.0001982
93,250.529,0.57797,0.48368,1.15505,0.99375,1,0.995,0.72384,1.01459,0.37623,1.39881,0.0001784,0.0001784,0.0001784
94,253.126,0.51943,0.44134,1.07289,0.99367,1,0.995,0.72239,0.9898,0.37589,1.3983,0.0001586,0.0001586,0.0001586
95,255.73,0.53344,0.44429,1.09262,0.99371,1,0.995,0.70109,0.96775,0.36396,1.39678,0.0001388,0.0001388,0.0001388
96,258.321,0.52164,0.44229,1.10658,0.99391,1,0.995,0.70109,0.9577,0.37649,1.40207,0.000119,0.000119,0.000119
97,260.924,0.48844,0.42973,1.06032,0.99433,1,0.995,0.73584,0.95678,0.40123,1.39927,9.92e-05,9.92e-05,9.92e-05
98,263.526,0.54396,0.4592,1.10697,0.99444,1,0.995,0.73584,0.97396,0.40465,1.39736,7.94e-05,7.94e-05,7.94e-05
99,266.126,0.55537,0.4471,1.10416,0.99464,1,0.995,0.73584,0.97511,0.40191,1.40031,5.96e-05,5.96e-05,5.96e-05
100,268.741,0.53991,0.4367,1.11856,0.99474,1,0.995,0.74067,0.9622,0.39807,1.39301,3.98e-05,3.98e-05,3.98e-05
