epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2170.29,0.92832,0.57032,0.93975,0.95641,0.84775,0.92984,0.67837,0.90999,0.5203,0.99411,8.758e-05,8.758e-05,8.758e-05
42,2222.85,0.92788,0.56662,0.93759,0.95614,0.85244,0.92467,0.67692,0.9102,0.52415,0.99272,8.61445e-05,8.61445e-05,8.61445e-05
43,2275.32,0.91688,0.56034,0.93924,0.94266,0.86352,0.93002,0.68015,0.90703,0.51488,0.99149,8.4709e-05,8.4709e-05,8.4709e-05
44,2327.89,0.90619,0.5498,0.93453,0.95359,0.85611,0.9286,0.68066,0.90681,0.51547,0.99097,8.32735e-05,8.32735e-05,8.32735e-05
45,2380.42,0.91116,0.5552,0.93706,0.96072,0.84778,0.92939,0.67836,0.91078,0.51371,0.99302,8.1838e-05,8.1838e-05,8.1838e-05
46,2432.87,0.91684,0.55384,0.93442,0.94701,0.86037,0.92935,0.67838,0.90849,0.51356,0.98724,8.04025e-05,8.04025e-05,8.04025e-05
47,2485.34,0.91134,0.54935,0.93157,0.95461,0.85943,0.93274,0.68342,0.90563,0.51251,0.99073,7.8967e-05,7.8967e-05,7.8967e-05
48,2537.87,0.90308,0.54577,0.93096,0.96293,0.84895,0.93277,0.68184,0.90061,0.50958,0.9857,7.75315e-05,7.75315e-05,7.75315e-05
49,2590.38,0.90232,0.54663,0.93241,0.95318,0.86101,0.93143,0.6835,0.89643,0.50805,0.98888,7.6096e-05,7.6096e-05,7.6096e-05
50,2642.86,0.89967,0.5442,0.93359,0.94485,0.8633,0.93062,0.6836,0.90192,0.50754,0.98977,7.46605e-05,7.46605e-05,7.46605e-05
51,2695.41,0.89097,0.53829,0.92771,0.95636,0.85376,0.92997,0.68207,0.89978,0.50566,0.98647,7.3225e-05,7.3225e-05,7.3225e-05
52,2747.87,0.89305,0.53458,0.9313,0.94915,0.86841,0.9299,0.68381,0.89842,0.50291,0.98908,7.17895e-05,7.17895e-05,7.17895e-05
53,2800.37,0.88767,0.53424,0.92429,0.949,0.86516,0.93421,0.68497,0.89158,0.50511,0.98744,7.0354e-05,7.0354e-05,7.0354e-05
54,2852.83,0.88648,0.53283,0.92725,0.94894,0.86907,0.93097,0.68264,0.89752,0.50077,0.9869,6.89185e-05,6.89185e-05,6.89185e-05
55,2905.29,0.88419,0.53019,0.92347,0.95303,0.86507,0.93156,0.68308,0.89741,0.50274,0.98924,6.7483e-05,6.7483e-05,6.7483e-05
56,2957.76,0.88823,0.53238,0.92784,0.95619,0.86537,0.93346,0.68548,0.89554,0.49847,0.98622,6.60475e-05,6.60475e-05,6.60475e-05
57,3010.29,0.88111,0.52806,0.92359,0.95863,0.86292,0.93408,0.68662,0.89252,0.49693,0.98665,6.4612e-05,6.4612e-05,6.4612e-05
58,3063.69,0.88228,0.52711,0.92285,0.95553,0.87076,0.9348,0.68678,0.88896,0.4973,0.9857,6.31765e-05,6.31765e-05,6.31765e-05
59,3117.27,0.88263,0.52748,0.92383,0.95285,0.86869,0.93235,0.68656,0.8867,0.49712,0.98616,6.1741e-05,6.1741e-05,6.1741e-05
60,3170.88,0.87902,0.5257,0.92034,0.95618,0.86284,0.93098,0.68617,0.88343,0.49732,0.9826,6.03055e-05,6.03055e-05,6.03055e-05
61,3224.69,0.87705,0.52407,0.92698,0.95633,0.86102,0.93398,0.68594,0.88817,0.49666,0.98442,5.887e-05,5.887e-05,5.887e-05
62,3278.17,0.87198,0.51855,0.92221,0.95223,0.86443,0.93304,0.68799,0.88724,0.49208,0.98691,5.74345e-05,5.74345e-05,5.74345e-05
63,3331.81,0.87943,0.5254,0.92492,0.95292,0.8679,0.9358,0.68951,0.88179,0.49277,0.9837,5.5999e-05,5.5999e-05,5.5999e-05
64,3385,0.8671,0.51327,0.91621,0.95539,0.86404,0.93173,0.68713,0.88573,0.49801,0.98539,5.45635e-05,5.45635e-05,5.45635e-05
65,3437.48,0.85616,0.50756,0.91805,0.95975,0.85975,0.93182,0.6859,0.88708,0.49274,0.98793,5.3128e-05,5.3128e-05,5.3128e-05
66,3490.05,0.86859,0.51365,0.91828,0.9569,0.85863,0.9309,0.68823,0.88251,0.49297,0.98515,5.16925e-05,5.16925e-05,5.16925e-05
67,3542.62,0.86695,0.51502,0.92131,0.96085,0.85903,0.93151,0.68695,0.88463,0.49327,0.98471,5.0257e-05,5.0257e-05,5.0257e-05
68,3595.24,0.85914,0.50929,0.91587,0.96503,0.85929,0.93314,0.6899,0.88227,0.48918,0.98492,4.88215e-05,4.88215e-05,4.88215e-05
69,3647.89,0.86198,0.51353,0.92011,0.96008,0.86602,0.93384,0.69001,0.88427,0.48699,0.98337,4.7386e-05,4.7386e-05,4.7386e-05
70,3700.49,0.85266,0.50754,0.91578,0.96442,0.85916,0.9361,0.69013,0.88039,0.48586,0.9846,4.59505e-05,4.59505e-05,4.59505e-05
71,3753.16,0.85431,0.50528,0.9145,0.96316,0.8594,0.93516,0.69001,0.88761,0.4904,0.98848,4.4515e-05,4.4515e-05,4.4515e-05
72,3805.84,0.85262,0.50318,0.91231,0.96211,0.86319,0.93529,0.69152,0.88115,0.48522,0.98526,4.30795e-05,4.30795e-05,4.30795e-05
73,3858.64,0.85205,0.49966,0.90983,0.95882,0.86562,0.93581,0.69051,0.88281,0.48552,0.9849,4.1644e-05,4.1644e-05,4.1644e-05
74,3911.25,0.85245,0.50162,0.91418,0.96572,0.85845,0.9355,0.69223,0.88536,0.48656,0.98883,4.02085e-05,4.02085e-05,4.02085e-05
75,3963.97,0.85358,0.50689,0.91801,0.95745,0.86362,0.93772,0.69042,0.88323,0.48609,0.98565,3.8773e-05,3.8773e-05,3.8773e-05
76,4016.53,0.85813,0.50862,0.92056,0.95755,0.86484,0.93705,0.69041,0.88067,0.48532,0.98765,3.73375e-05,3.73375e-05,3.73375e-05
77,4069.04,0.84324,0.49638,0.90812,0.95935,0.8658,0.93617,0.69322,0.87974,0.48075,0.98489,3.5902e-05,3.5902e-05,3.5902e-05
78,4121.59,0.84213,0.49939,0.91124,0.96006,0.86525,0.93416,0.69129,0.87739,0.48203,0.98497,3.44665e-05,3.44665e-05,3.44665e-05
79,4174.21,0.84368,0.49949,0.91324,0.96403,0.86055,0.93446,0.69191,0.87739,0.48265,0.984,3.3031e-05,3.3031e-05,3.3031e-05
80,4226.74,0.85098,0.50086,0.91401,0.95258,0.86788,0.93436,0.69334,0.87471,0.48186,0.982,3.15955e-05,3.15955e-05,3.15955e-05
81,4279.32,0.84158,0.49446,0.91006,0.95977,0.86225,0.93542,0.69215,0.87663,0.48132,0.9813,3.016e-05,3.016e-05,3.016e-05
82,4331.84,0.84449,0.49711,0.91201,0.96108,0.86151,0.93404,0.69132,0.8783,0.4805,0.98319,2.87245e-05,2.87245e-05,2.87245e-05
83,4384.45,0.83477,0.49167,0.91162,0.95775,0.86633,0.93517,0.69351,0.87597,0.47888,0.98295,2.7289e-05,2.7289e-05,2.7289e-05
84,4437.08,0.84266,0.49521,0.91374,0.95473,0.86903,0.9372,0.69428,0.87496,0.47884,0.98174,2.58535e-05,2.58535e-05,2.58535e-05
85,4489.77,0.83846,0.4912,0.90916,0.95887,0.86568,0.93625,0.69383,0.877,0.47959,0.98381,2.4418e-05,2.4418e-05,2.4418e-05
86,4542.56,0.8414,0.49485,0.91194,0.95948,0.86276,0.93551,0.69412,0.87607,0.47809,0.98272,2.29825e-05,2.29825e-05,2.29825e-05
87,4595.56,0.83094,0.49292,0.91187,0.95769,0.86497,0.93525,0.69294,0.8763,0.47917,0.98503,2.1547e-05,2.1547e-05,2.1547e-05
88,4648.2,0.83121,0.48817,0.90879,0.96083,0.86443,0.93597,0.69205,0.87539,0.47844,0.9843,2.01115e-05,2.01115e-05,2.01115e-05
