epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4648.19,0.37833,0.42211,0.84529,0.82755,0.88954,0.83703,0.77899,0.34453,0.55735,0.9043,0.005842,0.005842,0.005842
44,4755.56,0.37893,0.42367,0.84527,0.82918,0.89276,0.8383,0.78182,0.3387,0.54885,0.89994,0.005743,0.005743,0.005743
45,4862.96,0.37473,0.4162,0.84366,0.83071,0.89451,0.83812,0.78233,0.34024,0.54826,0.89763,0.005644,0.005644,0.005644
46,4970.38,0.37398,0.41387,0.84284,0.83105,0.89276,0.83877,0.78388,0.33894,0.54983,0.89773,0.005545,0.005545,0.005545
47,5077.82,0.37361,0.41338,0.84249,0.83291,0.89172,0.83807,0.78271,0.33552,0.54593,0.89565,0.005446,0.005446,0.005446
48,5185.17,0.37142,0.41279,0.84121,0.83227,0.89631,0.83924,0.7848,0.33577,0.54437,0.89672,0.005347,0.005347,0.005347
49,5294.59,0.36816,0.40718,0.84179,0.83104,0.89612,0.83884,0.7846,0.33338,0.54587,0.89565,0.005248,0.005248,0.005248
50,5402.99,0.36792,0.40523,0.84066,0.83125,0.89474,0.83859,0.78452,0.33255,0.54693,0.89474,0.005149,0.005149,0.005149
51,5510.93,0.36657,0.4033,0.83968,0.83472,0.89185,0.83878,0.78448,0.33286,0.54305,0.89603,0.00505,0.00505,0.00505
52,5618.78,0.36407,0.40032,0.84058,0.83252,0.89246,0.83907,0.78544,0.33054,0.54269,0.89515,0.004951,0.004951,0.004951
53,5726.75,0.36309,0.39873,0.83746,0.83117,0.89558,0.84021,0.78691,0.33047,0.54147,0.89603,0.004852,0.004852,0.004852
54,5835.67,0.3615,0.39821,0.83889,0.83493,0.89139,0.84003,0.78662,0.32967,0.54345,0.89666,0.004753,0.004753,0.004753
55,5945.48,0.35952,0.39408,0.83795,0.82789,0.89839,0.83955,0.78615,0.32915,0.53949,0.89677,0.004654,0.004654,0.004654
56,6055.38,0.35988,0.39252,0.83764,0.83129,0.89703,0.84032,0.78632,0.32854,0.53895,0.89606,0.004555,0.004555,0.004555
57,6163.88,0.3574,0.39006,0.83697,0.82923,0.90112,0.84044,0.78755,0.32672,0.53846,0.8944,0.004456,0.004456,0.004456
58,6272.6,0.35389,0.38682,0.83481,0.82832,0.90396,0.84035,0.787,0.32619,0.54136,0.89449,0.004357,0.004357,0.004357
